num_arb;id_map_info;type_espace;site;code_site;annee_plant;annee_plant_estimee;zone_boisee;genre;espece;sous_espece;variete;cultivar;allergene;diametre;hauteur_totale;hauteur_moy_fut;forme_actuelle;arbre_remarquable;espace_boise_classe
34;4951;Autres (préciser);LONGCHAMP;884;;;;Prunus;serrulata;;;J. H. Veitch;0;43;6-10 m;< 5,5 m;Libre(port naturel);;
39;4952;Accompagnement des voies;LONGCHAMP;884;;;;Prunus;serrulata;;;J. H. Veitch;0;43;6-10 m;< 5,5 m;Libre(port naturel);;
127;121;Accompagnement des voies;PARC DE PROCE;1535;;0;;Carpinus;betulus;;;Pyramidalis;1;29;6-10 m;< 5,5 m;Libre(port naturel);;
129;123;Accompagnement des voies;PARC DE PROCE;1535;;0;;Carpinus;betulus;;;Pyramidalis;1;12;6-10 m;< 5,5 m;Libre(port naturel);;
131;209;Accompagnement des voies;PARC DE PROCE;1535;;0;;Carpinus;betulus;;;Pyramidalis;1;37;6-10 m;< 5,5 m;Libre(port naturel);;
132;210;Accompagnement des voies;PARC DE PROCE;1535;;0;;Prunus;serrulata;;;Kanzan;0;8;0-5 m;< 5,5 m;Libre(port naturel);;
133;211;Accompagnement des voies;PARC DE PROCE;1535;;0;;Carpinus;betulus;;;Pyramidalis;1;38;6-10 m;< 5,5 m;Libre(port naturel);;
134;212;Accompagnement des voies;PARC DE PROCE;1535;;0;;Prunus;serrulata;;;Kanzan;0;7;0-5 m;< 5,5 m;Libre(port naturel);;
135;213;Accompagnement des voies;PARC DE PROCE;1535;;0;;Carpinus;betulus;;;Pyramidalis;1;39;6-10 m;< 5,5 m;Libre(port naturel);;
136;214;Accompagnement des voies;PARC DE PROCE;1535;;0;;Prunus;serrulata;;;Kanzan;0;17;0-5 m;< 5,5 m;Libre(port naturel);;
137;215;Accompagnement des voies;PARC DE PROCE;940;;0;;Prunus;serrulata;;;Kanzan;0;6;0-5 m;< 5,5 m;Libre(port naturel);;
138;216;Accompagnement des voies;PARC DE PROCE;940;;0;;Carpinus;betulus;;;Pyramidalis;1;30;6-10 m;< 5,5 m;Libre(port naturel);;
139;218;Accompagnement des voies;PARC DE PROCE;940;;0;;Carpinus;betulus;;;Pyramidalis;1;36;6-10 m;< 5,5 m;Libre(port naturel);;
140;219;Accompagnement des voies;PARC DE PROCE;940;;0;;Carpinus;betulus;;;Pyramidalis;1;38;6-10 m;< 5,5 m;Libre(port naturel);;
147;128;Accompagnement des voies;PARC DE PROCE;940;;0;;Prunus;serrulata;;;Kanzan;0;4;0-5 m;< 5,5 m;Libre(port naturel);;
148;127;Accompagnement des voies;PARC DE PROCE;940;;0;;Carpinus;betulus;;;Pyramidalis;1;28;6-10 m;< 5,5 m;Libre(port naturel);;
149;126;Accompagnement des voies;PARC DE PROCE;940;;0;;Prunus;serrulata;;;Kanzan;0;26;0-5 m;< 5,5 m;Libre(port naturel);;
150;125;Accompagnement des voies;PARC DE PROCE;1535;;0;;Carpinus;betulus;;;Pyramidalis;1;40;6-10 m;< 5,5 m;Libre(port naturel);;
152;13;Accompagnement des voies;RAYMOND POINCARE;40;;0;;Fraxinus;oxycarpa;;;Flame;0;27;6-10 m;< 5,5 m;Libre(port naturel);;
153;303;Accompagnement des voies;ANGLAIS;644;;0;;Aesculus;hippocastanum;;;;1;68;16-20 m  ;> 5,5 m;Libre(port naturel);;
154;304;Accompagnement des voies;ANGLAIS;644;;0;;Aesculus;hippocastanum;;;;1;67;16-20 m  ;> 5,5 m;Libre(port naturel);;
157;5;Accompagnement des voies;ANGLAIS;644;;0;;Platanus;acerifolia (x);;;;1;92;21-30 m;> 5,5 m;Libre(port naturel);;
158;14;Accompagnement des voies;ANGLAIS;644;;0;;Platanus;acerifolia (x);;;;1;62;11-15 m;< 5,5 m;Architecturée : 4 faces;;
159;15;Accompagnement des voies;ANGLAIS;644;;0;;Platanus;acerifolia (x);;;;1;47;11-15 m;< 5,5 m;Architecturée : 4 faces;;
161;17;Accompagnement des voies;ANGLAIS;644;;0;;Platanus;acerifolia (x);;;;1;49;11-15 m;< 5,5 m;Architecturée : 4 faces;;
162;18;Accompagnement des voies;ANGLAIS;644;;0;;Platanus;acerifolia (x);;;;1;52;11-15 m;< 5,5 m;Architecturée : 4 faces;;
163;19;Accompagnement des voies;ANGLAIS;644;;0;;Platanus;acerifolia (x);;;;1;13;6-10 m;< 5,5 m;Architecturée : 4 faces;;
164;20;Accompagnement des voies;ANGLAIS;644;;0;;Platanus;acerifolia (x);;;;1;48;11-15 m;< 5,5 m;Architecturée : 4 faces;;
165;21;Accompagnement des voies;ANGLAIS;644;;0;;Platanus;acerifolia (x);;;;1;52;11-15 m;< 5,5 m;Architecturée : 4 faces;;
166;22;Accompagnement des voies;ANGLAIS;644;;0;;Platanus;acerifolia (x);;;;1;48;11-15 m;< 5,5 m;Architecturée : 4 faces;;
167;23;Accompagnement des voies;ANGLAIS;644;;0;;Platanus;acerifolia (x);;;;1;14;6-10 m;< 5,5 m;Architecturée : 4 faces;;
168;24;Accompagnement des voies;ANGLAIS;644;;0;;Platanus;acerifolia (x);;;;1;44;11-15 m;< 5,5 m;Architecturée : 4 faces;;
169;25;Accompagnement des voies;ANGLAIS;644;;0;;Platanus;acerifolia (x);;;;1;43;11-15 m;< 5,5 m;Architecturée : 4 faces;;
170;26;Accompagnement des voies;ANGLAIS;644;;0;;Platanus;acerifolia (x);;;;1;43;11-15 m;< 5,5 m;Architecturée : 4 faces;;
171;27;Accompagnement des voies;ANGLAIS;644;;0;;Platanus;acerifolia (x);;;;1;47;11-15 m;< 5,5 m;Architecturée : 4 faces;;
172;28;Accompagnement des voies;ANGLAIS;644;;0;;Platanus;acerifolia (x);;;;1;53;11-15 m;< 5,5 m;Architecturée : 4 faces;;
173;29;Accompagnement des voies;ANGLAIS;644;;0;;Platanus;acerifolia (x);;;;1;48;11-15 m;< 5,5 m;Architecturée : 4 faces;;
174;30;Accompagnement des voies;ANGLAIS;644;;0;;Platanus;acerifolia (x);;;;1;46;11-15 m;< 5,5 m;Architecturée : 4 faces;;
175;31;Accompagnement des voies;ANGLAIS;644;;0;;Platanus;acerifolia (x);;;;1;49;11-15 m;< 5,5 m;Architecturée : 4 faces;;
176;44;Accompagnement des voies;ANGLAIS;644;;0;;Platanus;acerifolia (x);;;;1;57;11-15 m;< 5,5 m;Architecturée : 4 faces;;
177;32;Accompagnement des voies;ANGLAIS;644;;0;;Platanus;acerifolia (x);;;;1;51;11-15 m;< 5,5 m;Architecturée : 4 faces;;
178;33;Accompagnement des voies;ANGLAIS;644;;0;;Platanus;acerifolia (x);;;;1;54;11-15 m;< 5,5 m;Architecturée : 4 faces;;
179;34;Accompagnement des voies;ANGLAIS;644;;0;;Platanus;acerifolia (x);;;;1;50;11-15 m;< 5,5 m;Architecturée : 4 faces;;
180;35;Accompagnement des voies;ANGLAIS;644;;0;;Platanus;acerifolia (x);;;;1;46;11-15 m;< 5,5 m;Architecturée : 4 faces;;
181;36;Accompagnement des voies;ANGLAIS;644;;0;;Platanus;acerifolia (x);;;;1;43;11-15 m;< 5,5 m;Architecturée : 4 faces;;
182;37;Accompagnement des voies;ANGLAIS;644;;0;;Platanus;acerifolia (x);;;;1;41;11-15 m;< 5,5 m;Architecturée : 4 faces;;
